#!/usr/bin/env python
""" Provides
: Radar
Radar object.
filemetadata =
= FileMetadata('uf',
FileMetadata('uf', field_names,
field_names, additional_metadata,
file_field_names, exclude_fields)
ufile =
= UFFile(prepare_for_read(filename))
first_ray =
= ufile.rays[0]
dts =
= ufile.get_datetimes()
units =
= make_time_unit_str(min(dts))
time =
= filemetadata('time')
time['units'] =
= units
time['data'] =
= date2num(dts,
date2num(dts, units).astype('float32')
_range =
= filemetadata('range')
field_header =
= first_ray.field_headers[0]
ngates =
= field_header['nbins']
step =
= field_header['range_spacing_m']
start =
= (field_header['range_start_km']
(field_header['range_start_km'] *
* 1000.
1000. +
field_header['range_start_m'] +
+ step
step /
/ 2.)
_range['data'] =
= np.arange(ngates,
np.arange(ngates, dtype='float32')
dtype='float32') *
* step
step +
+ start
_range['meters_to_center_of_first_gate'] =
= start
_range['meters_between_gates'] =
= step
latitude =
= filemetadata('latitude')
longitude =
= filemetadata('longitude')
altitude =
= filemetadata('altitude')
lat, lon,
lon, height
height =
= first_ray.get_location()
latitude['data'] =
= np.array([lat],
np.array([lat], dtype='float64')
longitude['data'] =
= np.array([lon],
np.array([lon], dtype='float64')
altitude['data'] =
= np.array([height],
np.array([height], dtype='float64')
metadata =
= filemetadata('metadata')
metadata['original_container'] =
= 'UF'
metadata['site_name'] =
= first_ray.mandatory_header['site_name']
metadata['radar_name'] =
= first_ray.mandatory_header['radar_name']
sweep_start_ray_index =
= filemetadata('sweep_start_ray_index')
sweep_end_ray_index =
= filemetadata('sweep_end_ray_index')
sweep_start_ray_index['data'] =
= ufile.first_ray_in_sweep
sweep_end_ray_index['data'] =
= ufile.last_ray_in_sweep
sweep_number =
= filemetadata('sweep_number')
sweep_number['data'] =
= np.arange(ufile.nsweeps,
np.arange(ufile.nsweeps, dtype='int32')
scan_type =
= _UF_SWEEP_MODES[first_ray.mandatory_header['sweep_mode']]
sweep_mode =
= filemetadata('sweep_mode')
sweep_mode['data'] =
= np.array(
ufile.nsweeps *
* [_SWEEP_MODE_STR[scan_type]],
[_SWEEP_MODE_STR[scan_type]], dtype='S')
elevation =
= filemetadata('elevation')
elevation['data'] =
= ufile.get_elevations()
azimuth =
= filemetadata('azimuth')
azimuth['data'] =
= ufile.get_azimuths()
fixed_angle =
= filemetadata('fixed_angle')
fixed_angle['data'] =
= ufile.get_sweep_fixed_angles()
fields =
= {}
for uf_field_number,
uf_field_number, uf_field_dic
uf_field_dic in
in enumerate(first_ray.field_positions):
uf_field_name =
= uf_field_dic['data_type'].decode('ascii')
field_name =
= filemetadata.get_field_name(uf_field_name)
if field_name
field_name is
is None:
field_dic =
= filemetadata(field_name)
field_dic['data'] =
= ufile.get_field_data(uf_field_number)
field_dic['_FillValue'] =
= get_fillvalue()
fields[field_name] =
= field_dic
instrument_parameters =
= _get_instrument_parameters(ufile,
_get_instrument_parameters(ufile, filemetadata)
scan_rate =
= filemetadata('scan_rate')
scan_rate['data'] =
= ufile.get_sweep_rates()
return Radar(
time, _range,
_range, fields,
fields, metadata,
metadata, scan_type,
latitude, longitude,
longitude, altitude,
sweep_number, sweep_mode,
sweep_mode, fixed_angle,
fixed_angle, sweep_start_ray_index,
azimuth, elevation,
def _get_instrument_parameters(ufile,
_get_instrument_parameters(ufile, filemetadata):
""" Return
Return a
a dictionary
dictionary containing
containing instrument
instrument parameters.
parameters. """
pulse_width =
= filemetadata('pulse_width')
pulse_width['data'] =
= ufile.get_pulse_widths()
ufile.get_pulse_widths() /
/ _LIGHT_SPEED
_LIGHT_SPEED #
# m->sec
first_ray =
= ufile.rays[0]
field_header =
= first_ray.field_headers[0]
beam_width_h =
= field_header['beam_width_h']
field_header['beam_width_h'] /
/ 64.
beam_width_v =
= field_header['beam_width_v']
field_header['beam_width_v'] /
/ 64.
bandwidth =
= field_header['bandwidth']
field_header['bandwidth'] /
/ 16.
16. *
* 1.e6
wavelength_cm =
= field_header['wavelength_cm']
field_header['wavelength_cm'] /
/ 64.
if wavelength_cm
wavelength_cm ==
== 0:
warnings.warn('Invalid wavelength,
wavelength, frequency
frequency set
set to
to default
default value.')
wavelength_hz =
= 9999.0
wavelength_hz =
= _LIGHT_SPEED
_LIGHT_SPEED /
/ (wavelength_cm
(wavelength_cm /
/ 100.)
radar_beam_width_h =
= filemetadata('radar_beam_width_h')
radar_beam_width_h['data'] =
= np.array([beam_width_h],
np.array([beam_width_h], dtype='float32')
radar_beam_width_v =
= filemetadata('radar_beam_width_w')
radar_beam_width_v['data'] =
= np.array([beam_width_v],
np.array([beam_width_v], dtype='float32')
radar_receiver_bandwidth =
= filemetadata('radar_receiver_bandwidth')
radar_receiver_bandwidth['data'] =
= np.array([bandwidth],
np.array([bandwidth], dtype='float32')
polarization_mode =
= filemetadata('polarization_mode')
polarization_mode['data'] =
= ufile.get_sweep_polarizations()
frequency =
= filemetadata('frequency')
frequency['data'] =
= np.array([wavelength_hz],
np.array([wavelength_hz], dtype='float32')
prt =
= filemetadata('prt')
prt['data'] =
= ufile.get_prts()
ufile.get_prts() /
/ 1e6
1e6 #
# us->sec
instrument_parameters =
= {
'pulse_width': pulse_width,
'radar_beam_width_h': radar_beam_width_h,
'radar_beam_width_v': radar_beam_width_v,
'radar_receiver_bandwidth': radar_receiver_bandwidth,
'polarization_mode': polarization_mode,
'frequency': frequency,
'prt': prt,
nyquist_velocity =
= filemetadata('nyquist_velocity')
nyquist_velocity['data'] =
= ufile.get_nyquists()
if nyquist_velocity['data']
nyquist_velocity['data'] is
is not
not None:
instrument_parameters['nyquist_velocity'] =
= nyquist_velocity
return instrument_parameters
